001 4000000  900 buy 1 2007
002 3500000  900 buy 2 2016
003 6000000  2400 buy 1 2008
004 4500000  1200 buy 2 2020
005 2500000  900 buy 1 2009
006 2000000  900 buy 3 2021
007 3000000  1000 buy 2 2008
008 12000  1000 lease 1 2014
009 8000  600 lease 1 2009
010 1500000  400 buy 1 2022
011 2000000  600 buy 2 2018
012 1200000  400 buy 2 2014
013 18000  1200 lease 3 2019
014 3000000  900 buy 2 2015
015 45000  2400 lease 1 2019
016 16000  1200 lease 2 2014
017 2500000 900 buy 4 2013
018 12000  900 lease 1 2009
019 2800000  900 buy 2012
020 3200000  1200 buy 2018
