PlotID   Price        Type  Size
AMB001   36000000.00  B     1800.00
BOR002   37500000.00  B     2500.00
AND003   40000000.00  B     2000.00
AMB004   12000000.00  B     1500.00
CHE005   15600000.00  B     1300.00
AMB006   12000000.00  B     1200.00
AND007   36000000.00  B     1800.00
AND008   34000000.00  B     1700.00
BOR009   19500000.00  B     1300.00
CHE010   15000000.00  B     1250.00
BOR011   30000000.00  B     2000.00
AMB012   14000000.00  B     1400.00
AMB013   13000000.00  B     1300.00
CHE014   17400000.00  B     1450.00
BOR015   18000000.00  B     1800.00
AND016   50000000.00  B     2500.00
AMB017   11000000.00  B     1100.00
CHE018   19200000.00  B     1600.00
BOR019   28500000.00  B     1700.00
CHE020   20400000.00  B     1750.00
